# _tick,_time,step,mean_episode_return,mean_episode_step,total_loss,pg_loss,baseline_loss,entropy_loss,learner_queue_size,train_seconds
105,1654565830.2866158,1436160,21.205219268798828,4260.14404296875,13.073287963867188,-100.03702545166016,119.39602661132812,-6.285713195800781,32,801.8
106,1654565831.759541,1438720,-34.580360412597656,3653.03759765625,-138.1923065185547,-147.11680603027344,15.185274124145508,-6.260769844055176,32,801.8
107,1654565833.247582,1441280,75.32837677001953,4469.072265625,-7.426817893981934,-48.92253875732422,47.66704559326172,-6.171324729919434,32,801.8
108,1654565834.612626,1443840,-13.39094352722168,3052.34375,391.40374755859375,232.55960083007812,164.96206665039062,-6.117924690246582,32,806.8
109,1654565837.481595,1448960,8.419313430786133,3180.82666015625,-24.935056686401367,-79.79381561279297,60.853546142578125,-5.994786739349365,32,806.8
110,1654565838.9832702,1451520,22.619293212890625,3566.179443359375,-3.0670018196105957,-92.41143798828125,95.0753173828125,-5.730881214141846,32,811.8
111,1654565840.5009716,1454080,19.3090763092041,3593.064208984375,43.152156829833984,5.300191879272461,43.605201721191406,-5.753238677978516,32,811.8
112,1654565841.9819856,1456640,24.429946899414062,2904.103271484375,82.33076477050781,17.601469039916992,70.0364990234375,-5.307204723358154,32,811.8
113,1654565843.3532636,1459200,-10.180904388427734,3065.52734375,117.7437973022461,70.58415222167969,52.294429779052734,-5.134786605834961,32,811.8
114,1654565844.7328095,1461760,51.48841857910156,3718.156982421875,-58.202247619628906,-76.469970703125,23.52871322631836,-5.260989189147949,32,816.8
115,1654565847.5937512,1466880,35.47941589355469,3425.88134765625,-148.30426025390625,-147.76211547851562,4.661488056182861,-5.203629970550537,32,816.8
116,1654565850.253667,1472000,6.279096603393555,3247.93212890625,263.82208251953125,162.6337890625,106.29745483398438,-5.109169006347656,32,821.8
117,1654565853.204252,1477120,-6.880942344665527,4137.20654296875,-117.03569030761719,-133.9315185546875,22.438356399536133,-5.5425286293029785,32,821.8
118,1654565857.4748018,1484800,67.75411987304688,3177.96533203125,86.05554962158203,29.840904235839844,61.17476272583008,-4.960122108459473,32,826.9
119,1654565858.892557,1487360,23.80997657775879,3495.109375,272.91162109375,154.89752197265625,123.07653045654297,-5.06245231628418,32,831.9
120,1654565860.4108562,1489920,39.61979675292969,2960.374267578125,-120.86434173583984,-153.08395385742188,37.29326248168945,-5.073645114898682,32,831.9
121,1654565861.8267164,1492480,-10.41105842590332,3813.67041015625,202.2472381591797,93.11892700195312,114.05705261230469,-4.928740501403809,32,831.9
122,1654565863.1983147,1495040,9.069604873657227,3571.974365234375,-22.683303833007812,-94.43546295166016,76.74951171875,-4.997353553771973,32,831.9
123,1654565864.576253,1497600,26.269060134887695,3623.775390625,-14.0843505859375,-36.425819396972656,27.166584014892578,-4.825115203857422,32,836.9
124,1654565865.9954531,1500160,88.36087799072266,3498.75634765625,61.15825271606445,6.100542068481445,59.76005935668945,-4.702349662780762,32,836.9
