# _tick,_time,train_seconds,step,mean_episode_return,mean_episode_step,total_loss,pg_loss,baseline_loss,entropy_loss,learner_queue_size
75,1654749919.8218286,280.7,798720,39.95207214355469,2543.525146484375,208.89752197265625,195.98402404785156,33.985267639160156,-21.071773529052734,64
76,1654749921.573484,280.7,803840,-21.760404586791992,2641.0966796875,87.5849838256836,98.34495544433594,10.291511535644531,-21.051485061645508,64
77,1654749932.0639296,290.7,834560,-27.240528106689453,2801.949951171875,-77.55935668945312,-57.671417236328125,1.0038180351257324,-20.891759872436523,64
78,1654749938.9805865,300.7,855040,-25.57524299621582,2807.747314453125,182.6502685546875,190.66006469726562,12.929023742675781,-20.938806533813477,64
79,1654749940.7241046,300.7,860160,-15.545284271240234,2641.415771484375,98.21025848388672,111.80138397216797,7.345486640930176,-20.936616897583008,64
80,1654749949.6109905,310.7,885760,-31.250612258911133,2649.706298828125,2.0314807891845703,18.777942657470703,4.335846900939941,-21.082307815551758,64
81,1654749953.0825424,315.7,896000,-27.810604095458984,2892.918701171875,177.7940673828125,175.55709838867188,23.14486312866211,-20.907896041870117,64
82,1654749956.596848,315.7,906240,-10.450401306152344,2779.2587890625,-32.08689498901367,-16.243877410888672,4.837014198303223,-20.680030822753906,64
83,1654749958.313211,320.7,911360,-20.00035858154297,3009.305419921875,-29.631736755371094,-11.571044921875,2.326507091522217,-20.38719940185547,64
84,1654749959.9793544,320.7,916480,-22.23041343688965,2875.85009765625,49.84925842285156,61.339176177978516,8.909730911254883,-20.399648666381836,64
85,1654749965.1780117,325.7,931840,-31.70063018798828,3025.391357421875,133.05491638183594,133.30560302734375,20.387939453125,-20.638626098632812,64
86,1654749972.371285,330.7,952320,-5.900068283081055,2914.247802734375,-43.74066162109375,-24.274017333984375,1.5319879055023193,-20.998634338378906,64
87,1654749977.7324996,335.7,967680,-36.719844818115234,3322.824951171875,310.0575256347656,264.752197265625,66.40316772460938,-21.097841262817383,64
88,1654749979.4180615,340.7,972800,-20.144624710083008,3131.57568359375,-20.7359619140625,-4.052027702331543,4.360466003417969,-21.04439926147461,64
89,1654749986.4482388,345.7,993280,-28.300758361816406,3151.46875,19.35426902770996,36.580509185791016,3.7905960083007812,-21.016836166381836,64
90,1654749990.153394,350.8,1003520,-33.57044219970703,3070.14697265625,62.025718688964844,77.81690979003906,5.226117134094238,-21.01731300354004,64
91,1654749993.982015,355.8,1013760,-0.6399996876716614,3104.143310546875,10.079423904418945,28.272605895996094,3.012913227081299,-21.20609474182129,64
92,1654749995.7834504,355.8,1018880,3.409717559814453,3249.159912109375,65.56307220458984,78.72718811035156,8.008963584899902,-21.173078536987305,64
93,1654749997.4841537,355.8,1024000,-19.31072998046875,3537.559326171875,-81.90480041503906,-63.162315368652344,2.3450896739959717,-21.087575912475586,64
94,1654749999.291201,360.8,1029120,15.199792861938477,3346.544921875,15.08555793762207,33.00852966308594,3.1778697967529297,-21.10084342956543,64
95,1654750003.0284762,365.8,1039360,-14.88033676147461,3517.403076171875,-31.38135528564453,-14.93077278137207,4.699204444885254,-21.1497859954834,64
96,1654750006.4929106,365.8,1049600,-4.850016117095947,3381.21484375,78.06050872802734,40.19865798950195,58.824554443359375,-20.96269989013672,64
97,1654750023.8199873,385.8,1100800,-44.75849533081055,3550.4375,558.0091552734375,456.588623046875,122.4571304321289,-21.036609649658203,64
98,1654750027.257816,385.8,1111040,-0.3099999725818634,3597.534423828125,48.806007385253906,65.72534942626953,4.104780197143555,-21.024126052856445,64
99,1654750034.2237878,395.8,1131520,-12.33018684387207,3710.130615234375,156.0512237548828,163.24905395507812,13.864519119262695,-21.062345504760742,64
